Country,Item,Year,Yield (100 hg/ha),Pesticides (Tons),Rainfall (mm),NPK Fertilizers (Tons)
Pakistan,Potatoes,2011,219196,13865.78,494.0,74643.0
Pakistan,Potatoes,2012,183405,12868.85,494.0,44735.0
Pakistan,Potatoes,2013,218059,11871.92,494.0,56577.0
Pakistan,Potatoes,2014,181506,11871.92,494.0,68630.0
Pakistan,Potatoes,2015,234439,11871.92,494.0,70954.0
Pakistan,Potatoes,2016,224346,11871.92,494.0,66013.0
Pakistan,Potatoes,2017,214503,11871.92,494.0,60443.0
Pakistan,Potatoes,2018,236699,11871.92,494.0,68317.0
Pakistan,Potatoes,2019,248874,11871.92,494.0,71828.0
Panama,Potatoes,2009,233370,2046.06,2928.0,18199.0
Panama,Potatoes,2010,227645,1949.19,2928.0,30722.0
Panama,Potatoes,2011,212716,1852.32,2928.0,18871.33
Papua New Guinea,Potatoes,2009,47543,421.34,3142.0,2503.0
Papua New Guinea,Potatoes,2010,48627,437.87,3142.0,7361.0
Papua New Guinea,Potatoes,2011,50309,590.74,3142.0,5688.0
Paraguay,Potatoes,2009,50500,19942.96,1130.0,280672.0
Paraguay,Potatoes,2010,131165,21112.95,1130.0,425425.0
Paraguay,Potatoes,2011,152174,22282.95,1130.0,485812.0
Peru,Potatoes,2009,133353,4719.14,1738.0,5915.16
Peru,Potatoes,2010,131588,6225.67,1738.0,2767.08
Peru,Potatoes,2011,137379,6030.69,1738.0,14872.0
Philippines,Potatoes,2009,150758,19975.79,2348.0,160277.0
Philippines,Potatoes,2010,153366,21311.11,2348.0,68776.0
Philippines,Potatoes,2011,147563,21179.54,2348.0,311105.0
Philippines,Potatoes,2012,147690,21608.02,2348.0,605719.0
Philippines,Potatoes,2013,149204,22374.11,2348.0,230385.0
Philippines,Potatoes,2014,151423,22111.62,2348.0,237503.0
Poland,Potatoes,2009,191018,18493.03,600.0,108158.0
Portugal,Potatoes,2009,164431,13984.91,854.0,21960.0
Portugal,Potatoes,2010,150341,13774.18,854.0,2140.28
Portugal,Potatoes,2011,147088,14562.41,854.0,2627.67
Romania,Potatoes,2009,153812,6548.7,637.0,1596.0
Romania,Potatoes,2010,132960,7249.2,637.0,1663.0
Romania,Potatoes,2011,164154,6582.9,637.0,452.0
Rwanda,Potatoes,2009,102216,1187.6,1212.0,3028.0
Rwanda,Potatoes,2011,167040,181.6,1212.0,5.0
Saint Kitts and Nevis,Potatoes,2009,235849,99.26,1427.0,180.0
Saint Kitts and Nevis,Potatoes,2010,236013,90.2,1427.0,200.0
Saint Kitts and Nevis,Potatoes,2011,249231,87.42,1427.0,200.0
Saudi Arabia,Potatoes,2010,260575,4699.74,59.0,4000.0
Saudi Arabia,Potatoes,2012,253233,5021.75,59.0,5000.0
Saudi Arabia,Potatoes,2013,256547,5412.5,59.0,5000.0
Saudi Arabia,Potatoes,2014,134411,6259.67,59.0,5000.0
Saudi Arabia,Potatoes,2015,260575,7106.85,59.0,5000.0
Saudi Arabia,Potatoes,2016,256547,7954.02,59.0,5000.0
Senegal,Potatoes,2010,200000,695.86,686.0,2017.0
Senegal,Potatoes,2011,215517,741.85,686.0,123.0
Senegal,Potatoes,2012,267857,787.83,686.0,54000.0
Senegal,Potatoes,2013,223395,722.53,686.0,61000.0
Senegal,Potatoes,2014,216906,609.79,686.0,46000.0
Senegal,Potatoes,2015,219195,708.52,686.0,64000.0
Senegal,Potatoes,2016,220201,830.74,686.0,63407.0
Senegal,Potatoes,2017,223289,163.31,686.0,69581.0
Senegal,Potatoes,2018,223759,478.78,686.0,23385.0
Senegal,Potatoes,2019,227724,478.78,686.0,17626.0
Slovakia,Potatoes,2009,185992,1654.12,824.0,404.0
Slovakia,Potatoes,2010,114547,1880.75,824.0,1737.0
Slovakia,Potatoes,2011,209420,1410.5,824.0,3225.0
Slovakia,Potatoes,2012,185432,1563.78,824.0,57582.0
Slovakia,Potatoes,2013,183199,1620.28,824.0,57582.0
Slovakia,Potatoes,2014,196394,1721.83,824.0,64613.37
Slovakia,Potatoes,2015,179302,1567.86,824.0,61308.56
Slovakia,Potatoes,2016,214565,1520.0,824.0,90948.0
Slovakia,Potatoes,2017,200946,1724.0,824.0,76719.34
Slovakia,Potatoes,2018,219008,1785.0,824.0,94497.81
Slovakia,Potatoes,2019,222735,1859.0,824.0,89705.0
Slovenia,Potatoes,2009,247725,1162.87,1162.0,44564.0
Slovenia,Potatoes,2010,245353,1134.37,1162.0,59943.4
Slovenia,Potatoes,2011,264228,1121.91,1162.0,54391.5
Slovenia,Potatoes,2012,234061,1016.08,1162.0,52778.0
Slovenia,Potatoes,2013,187950,917.49,1162.0,51703.0
Slovenia,Potatoes,2014,268944,1009.92,1162.0,54315.0
Slovenia,Potatoes,2015,274370,1046.84,1162.0,55174.0
Slovenia,Potatoes,2016,268407,1157.0,1162.0,54475.0
Slovenia,Potatoes,2017,243526,1087.0,1162.0,54639.39
Slovenia,Potatoes,2018,259502,1172.0,1162.0,53758.0
Slovenia,Potatoes,2019,235571,972.0,1162.0,48170.0
South Africa,Potatoes,2011,349536,33334.33,495.0,128.0
Sri Lanka,Potatoes,2009,149034,1170.36,1712.0,1918.0
Sri Lanka,Potatoes,2010,135234,1450.54,1712.0,6828.0
Sri Lanka,Potatoes,2011,132500,1290.31,1712.0,4728.0
Sri Lanka,Potatoes,2015,158257,2539.92,1712.0,447.0
Sri Lanka,Potatoes,2016,158009,1925.0,1712.0,393.0
Sri Lanka,Potatoes,2017,164591,1266.0,1712.0,617.42
Sri Lanka,Potatoes,2018,171815,2261.0,1712.0,957.6
Sri Lanka,Potatoes,2019,187123,1526.43,1712.0,1857.2
Sweden,Potatoes,2009,318212,1935.0,624.0,192174.0
Sweden,Potatoes,2010,301218,1982.0,624.0,237250.0
Sweden,Potatoes,2011,319681,1781.0,624.0,255562.98
Sweden,Potatoes,2012,325809,1814.0,624.0,249348.0
Sweden,Potatoes,2013,337563,1620.0,624.0,281260.0
Sweden,Potatoes,2014,345420,1880.0,624.0,292885.0
Sweden,Potatoes,2015,347403,1836.2,624.0,269805.0
Sweden,Potatoes,2016,357291,1630.0,624.0,288925.88
Sweden,Potatoes,2017,346968,1525.0,624.0,286891.15
Sweden,Potatoes,2018,302384,1459.0,624.0,278131.0
Sweden,Potatoes,2019,358097,1478.1,624.0,268387.09
Switzerland,Potatoes,2009,465002,2224.02,1537.0,38035.0
Switzerland,Potatoes,2010,386978,2148.48,1537.0,52687.0
Switzerland,Potatoes,2011,457778,2284.09,1537.0,55749.0
Switzerland,Potatoes,2012,411034,2231.91,1537.0,52864.0
Switzerland,Potatoes,2013,325935,2290.07,1537.0,45191.0
Switzerland,Potatoes,2014,444229,2245.45,1537.0,48492.96
Switzerland,Potatoes,2015,356992,2220.55,1537.0,47747.84
Switzerland,Potatoes,2016,339154,2158.17,1537.0,47927.0
Switzerland,Potatoes,2017,409000,2027.76,1537.0,48003.0
Switzerland,Potatoes,2018,402989,2051.98,1537.0,45426.0
Switzerland,Potatoes,2019,377000,1952.01,1537.0,39208.0
Tajikistan,Potatoes,2011,235049,126.12,691.0,1.0
Thailand,Potatoes,2009,165948,67933.0,1622.0,493447.01
Thailand,Potatoes,2010,142016,68986.0,1622.0,947613.98
Thailand,Potatoes,2011,146421,87191.0,1622.0,815643.54
Thailand,Potatoes,2015,165283,26167.67,1622.0,414946.0
Tunisia,Potatoes,2009,144321,1495.28,207.0,3324.21
Tunisia,Potatoes,2010,155462,2174.9,207.0,5490.06
Tunisia,Potatoes,2011,148760,2135.1,207.0,66541.7
Tunisia,Potatoes,2012,150215,3076.4,207.0,51373.76
Tunisia,Potatoes,2013,160417,2462.0,207.0,50384.72
Tunisia,Potatoes,2014,160626,2765.96,207.0,50405.34
Tunisia,Potatoes,2015,172117,2817.44,207.0,52970.78
Tunisia,Potatoes,2016,177205,3133.94,207.0,52974.42
Uganda,Potatoes,2009,46286,2445.48,1180.0,15828.0
Uganda,Potatoes,2010,47714,2990.23,1180.0,13665.0
Uganda,Potatoes,2011,49920,3658.45,1180.0,9051.0
Ukraine,Potatoes,2009,139298,36444.7,565.0,471982.0
Ukraine,Potatoes,2010,132481,62534.6,565.0,695913.0
Ukraine,Potatoes,2011,168039,79491.7,565.0,917353.0
Ukraine,Potatoes,2018,170498,25343.0,565.0,1220866.0
Ukraine,Potatoes,2019,154869,24325.0,565.0,1032053.0
Uruguay,Potatoes,2009,161006,13475.41,1300.0,3985.0
Uruguay,Potatoes,2010,200915,14981.18,1300.0,25328.0
Uruguay,Potatoes,2011,177610,17517.76,1300.0,37.0
Uruguay,Potatoes,2012,219891,23506.4,1300.0,3933.0
Uruguay,Potatoes,2013,224434,19028.6,1300.0,64266.0
Uruguay,Potatoes,2014,204308,22962.2,1300.0,82709.0
Uruguay,Potatoes,2015,172208,14067.8,1300.0,15898.0
Uruguay,Potatoes,2016,201175,13365.8,1300.0,12184.0
Uruguay,Potatoes,2017,197792,14905.96,1300.0,12946.0
Uruguay,Potatoes,2018,208783,16446.12,1300.0,20817.85
Zambia,Potatoes,2009,172628,3327.67,1020.0,33926.0
Zambia,Potatoes,2010,162228,3455.19,1020.0,36188.0
Zambia,Potatoes,2011,156289,3582.7,1020.0,78755.0
Zambia,Potatoes,2014,198166,3965.24,1020.0,177007.0
Zambia,Potatoes,2015,153365,4092.75,1020.0,194753.0
Zambia,Potatoes,2016,187331,4220.27,1020.0,139009.0
Zambia,Potatoes,2017,316142,4347.78,1020.0,181662.0
Zambia,Potatoes,2018,74883,4196.64,1020.0,133308.67
Zambia,Potatoes,2019,192361,4196.64,1020.0,207707.23
Zimbabwe,Potatoes,2009,98178,3269.99,657.0,63800.0
Zimbabwe,Potatoes,2010,92025,3305.17,657.0,13117.0
Zimbabwe,Potatoes,2011,85809,3340.35,657.0,178.0
