Country,Item,Year,Yield (100 hg/ha),Pesticides (Tons),Rainfall (mm),NPK Fertilizers (Tons)
Chile,Potatoes,2013,233767,8059.78,1522.0,12330.0
Chile,Potatoes,2014,216752,8359.48,1522.0,7558.0
Chile,Potatoes,2015,190101,9651.25,1522.0,9314.0
Chile,Potatoes,2016,218010,11816.85,1522.0,9675.77
Colombia,Potatoes,2009,183793,51435.13,3240.0,589334.0
Colombia,Potatoes,2010,172462,48618.46,3240.0,668071.0
Colombia,Potatoes,2011,173390,53797.0,3240.0,813976.0
Colombia,Potatoes,2018,223755,37773.0,3240.0,100127.35
Colombia,Potatoes,2019,233870,69862.0,3240.0,112854.15
Congo,Potatoes,2009,85000,480.21,1646.0,3575.0
Congo,Potatoes,2010,85696,598.78,1646.0,434.0
Congo,Potatoes,2011,85967,652.53,1646.0,721.0
Costa Rica,Potatoes,2009,250144,12306.67,2926.0,11999.0
Costa Rica,Potatoes,2010,249489,14241.84,2926.0,32220.0
Costa Rica,Potatoes,2011,224226,12811.25,2926.0,24393.0
Croatia,Potatoes,2009,193036,2134.99,1113.0,166124.0
Croatia,Potatoes,2010,163115,1605.37,1113.0,445254.0
Croatia,Potatoes,2011,153960,1682.32,1113.0,346999.0
Croatia,Potatoes,2013,158785,1836.21,1113.0,93095.0
Croatia,Potatoes,2014,156011,2109.17,1113.0,143914.0
Croatia,Potatoes,2015,170378,2301.08,1113.0,142694.0
Croatia,Potatoes,2016,196596,1854.0,1113.0,52990.0
Croatia,Potatoes,2017,158740,1570.0,1113.0,157633.0
Croatia,Potatoes,2018,196613,1677.0,1113.0,164081.0
Croatia,Potatoes,2019,184398,1558.0,1113.0,155195.0
Cuba,Potatoes,2009,223237,3504.96,1335.0,43520.0
Cuba,Potatoes,2010,220851,3504.96,1335.0,66514.0
Cuba,Potatoes,2011,224847,3504.96,1335.0,91814.96
Cyprus,Potatoes,2009,226358,728.61,498.0,21762.0
Cyprus,Potatoes,2010,192714,632.48,498.0,18098.82
Cyprus,Potatoes,2011,248924,1324.62,498.0,14945.95
Cyprus,Potatoes,2012,180659,1266.21,498.0,18888.0
Cyprus,Potatoes,2013,212333,1243.1,498.0,17317.0
Cyprus,Potatoes,2014,234114,1203.71,498.0,14058.0
Cyprus,Potatoes,2015,202579,1056.74,498.0,16520.0
Cyprus,Potatoes,2016,243608,1142.13,498.0,19875.0
Cyprus,Potatoes,2017,260543,1163.2,498.0,20546.0
Cyprus,Potatoes,2018,232004,1187.4,498.0,20634.0
Cyprus,Potatoes,2019,211598,1233.5,498.0,29669.12
Czechia,Potatoes,2009,261898,4759.9,677.0,6525.0
Czechia,Potatoes,2010,245643,4957.4,677.0,34579.0
Czechia,Potatoes,2011,304473,5306.06,677.0,28634.0
Czechia,Potatoes,2012,279805,5345.4,677.0,71626.0
Czechia,Potatoes,2013,231179,5146.98,677.0,52906.0
Czechia,Potatoes,2014,290726,4683.39,677.0,76926.0
Czechia,Potatoes,2015,222633,4472.87,677.0,82155.0
Czechia,Potatoes,2016,298798,4433.0,677.0,92589.0
Czechia,Potatoes,2017,294202,4433.0,677.0,86125.0
Czechia,Potatoes,2018,254941,4092.0,677.0,90931.0
Czechia,Potatoes,2019,271997,3908.2,677.0,92383.0
Denmark,Potatoes,2009,415861,2836.0,703.0,153450.0
Denmark,Potatoes,2010,352675,3894.0,703.0,247482.0
Denmark,Potatoes,2011,389423,4549.46,703.0,243529.0
Denmark,Potatoes,2012,421316,5959.04,703.0,231674.0
Denmark,Potatoes,2013,415732,4197.1,703.0,246277.0
Denmark,Potatoes,2014,431194,1821.89,703.0,284755.0
Denmark,Potatoes,2015,414128,2583.75,703.0,295032.0
Denmark,Potatoes,2016,424786,2586.88,703.0,289856.0
Denmark,Potatoes,2017,436821,2708.11,703.0,359597.0
Denmark,Potatoes,2018,347462,2647.13,703.0,302470.0
