Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RFB","Fertilizers by Product","040","Austria","5157","Agricultural Use","4021","NPK fertilizers","2019","2019","t","125422.19","A","Official figure"
"RFB","Fertilizers by Product","031","Azerbaijan","5157","Agricultural Use","4021","NPK fertilizers","2009","2009","t","3714","I","Imputed value"
"RFB","Fertilizers by Product","031","Azerbaijan","5157","Agricultural Use","4021","NPK fertilizers","2010","2010","t","7109","I","Imputed value"
"RFB","Fertilizers by Product","031","Azerbaijan","5157","Agricultural Use","4021","NPK fertilizers","2011","2011","t","9021","I","Imputed value"
"RFB","Fertilizers by Product","048","Bahrain","5157","Agricultural Use","4021","NPK fertilizers","2009","2009","t","261","A","Official figure"
"RFB","Fertilizers by Product","048","Bahrain","5157","Agricultural Use","4021","NPK fertilizers","2010","2010","t","238","A","Official figure"
"RFB","Fertilizers by Product","048","Bahrain","5157","Agricultural Use","4021","NPK fertilizers","2011","2011","t","500","A","Official figure"
"RFB","Fertilizers by Product","050","Bangladesh","5157","Agricultural Use","4021","NPK fertilizers","2009","2009","t","36929","I","Imputed value"
"RFB","Fertilizers by Product","050","Bangladesh","5157","Agricultural Use","4021","NPK fertilizers","2010","2010","t","32709","I","Imputed value"
"RFB","Fertilizers by Product","050","Bangladesh","5157","Agricultural Use","4021","NPK fertilizers","2011","2011","t","40762","I","Imputed value"
"RFB","Fertilizers by Product","052","Barbados","5157","Agricultural Use","4021","NPK fertilizers","2009","2009","t","1139","I","Imputed value"
"RFB","Fertilizers by Product","052","Barbados","5157","Agricultural Use","4021","NPK fertilizers","2010","2010","t","9","I","Imputed value"
"RFB","Fertilizers by Product","052","Barbados","5157","Agricultural Use","4021","NPK fertilizers","2011","2011","t","40","I","Imputed value"
"RFB","Fertilizers by Product","112","Belarus","5157","Agricultural Use","4021","NPK fertilizers","2009","2009","t","281498","I","Imputed value"
"RFB","Fertilizers by Product","112","Belarus","5157","Agricultural Use","4021","NPK fertilizers","2010","2010","t","314654","I","Imputed value"
"RFB","Fertilizers by Product","112","Belarus","5157","Agricultural Use","4021","NPK fertilizers","2011","2011","t","342639","I","Imputed value"
"RFB","Fertilizers by Product","084","Belize","5157","Agricultural Use","4021","NPK fertilizers","2009","2009","t","1814","I","Imputed value"
"RFB","Fertilizers by Product","084","Belize","5157","Agricultural Use","4021","NPK fertilizers","2010","2010","t","2312.03","I","Imputed value"
"RFB","Fertilizers by Product","084","Belize","5157","Agricultural Use","4021","NPK fertilizers","2011","2011","t","3004.4","I","Imputed value"
"RFB","Fertilizers by Product","204","Benin","5157","Agricultural Use","4021","NPK fertilizers","2009","2009","t","35218","I","Imputed value"
"RFB","Fertilizers by Product","204","Benin","5157","Agricultural Use","4021","NPK fertilizers","2010","2010","t","128","I","Imputed value"
"RFB","Fertilizers by Product","204","Benin","5157","Agricultural Use","4021","NPK fertilizers","2011","2011","t","20395","I","Imputed value"
"RFB","Fertilizers by Product","060","Bermuda","5157","Agricultural Use","4021","NPK fertilizers","2013","2013","t","134","A","Official figure"
"RFB","Fertilizers by Product","060","Bermuda","5157","Agricultural Use","4021","NPK fertilizers","2014","2014","t","128","A","Official figure"
"RFB","Fertilizers by Product","060","Bermuda","5157","Agricultural Use","4021","NPK fertilizers","2015","2015","t","133","A","Official figure"
"RFB","Fertilizers by Product","060","Bermuda","5157","Agricultural Use","4021","NPK fertilizers","2016","2016","t","94.66","A","Official figure"
"RFB","Fertilizers by Product","060","Bermuda","5157","Agricultural Use","4021","NPK fertilizers","2017","2017","t","97","A","Official figure"
"RFB","Fertilizers by Product","060","Bermuda","5157","Agricultural Use","4021","NPK fertilizers","2018","2018","t","104","A","Official figure"
"RFB","Fertilizers by Product","060","Bermuda","5157","Agricultural Use","4021","NPK fertilizers","2019","2019","t","106.5","A","Official figure"
"RFB","Fertilizers by Product","064","Bhutan","5157","Agricultural Use","4021","NPK fertilizers","2010","2010","t","838","A","Official figure"
"RFB","Fertilizers by Product","064","Bhutan","5157","Agricultural Use","4021","NPK fertilizers","2011","2011","t","1147","A","Official figure"
"RFB","Fertilizers by Product","064","Bhutan","5157","Agricultural Use","4021","NPK fertilizers","2012","2012","t","703.97","A","Official figure"
"RFB","Fertilizers by Product","064","Bhutan","5157","Agricultural Use","4021","NPK fertilizers","2013","2013","t","1222.97","A","Official figure"
"RFB","Fertilizers by Product","064","Bhutan","5157","Agricultural Use","4021","NPK fertilizers","2014","2014","t","1429.75","A","Official figure"
"RFB","Fertilizers by Product","064","Bhutan","5157","Agricultural Use","4021","NPK fertilizers","2015","2015","t","1510.6","A","Official figure"
"RFB","Fertilizers by Product","064","Bhutan","5157","Agricultural Use","4021","NPK fertilizers","2016","2016","t","1423.31","A","Official figure"
"RFB","Fertilizers by Product","064","Bhutan","5157","Agricultural Use","4021","NPK fertilizers","2017","2017","t","1379.16","A","Official figure"
"RFB","Fertilizers by Product","064","Bhutan","5157","Agricultural Use","4021","NPK fertilizers","2018","2018","t","1406.51","I","Imputed value"
"RFB","Fertilizers by Product","064","Bhutan","5157","Agricultural Use","4021","NPK fertilizers","2019","2019","t","1433.85","A","Official figure"
